1528677420981	Genèse		Damina	WYI	Zɛnɛzi	ABBF	Jenɛse	MLI	bible
1528677420982	Exode		Bɔri	WYI	Ɛkizɔdo	ABBF	Ekisode	MLI	bible
1528677420983	Lévitique		Sarakalasebagaw	WYI	Levitiki	ABBF	Levitike	MLI	bible
1528677420984	Nombres		Jateri	WYI	Nɔmburw	ABBF	Nɔnburuw	MLI	bible
1528677420985	Deutéronome		Sariya	WYI	Deteronɔmu	ABBF	Dutɛrɔnɔmɛ	MLI	bible
1528677420986	Josué		Yosuwe	WYI	Zozuwe	ABBF	Josue	MLI	bible
1528677420987	Juges		Kitigɛbagaw	WYI		ABBF	Kiritigɛlaw	MLI	bible
1528677420988	Ruth		Ruti	WYI	Uruti	ABBF	Ruti	MLI	bible
1528677420989	1 Samuel		Samawilu fɔlɔ	WYI	Samuyɛli fɔlɔ	ABBF	1 Samuɛl	MLI	bible
1528677420990	2 Samuel		Samawilu filanan	WYI	Samuyɛli filanan	ABBF	2 Samuɛl	MLI	bible
1528677420991	1 Rois		Masacɛw fɔlɔ	WYI	Masacɛw fɔlɔ	ABBF	1 Masakɛw	MLI	bible
1528677420992	2 Rois		Masacɛw filanan	WYI	Masacɛw filanan	ABBF	2 Masakɛw	MLI	bible
1528677420993	1 Chroniques		Kibaroyaw fɔlɔ	WYI	Kibaru fɔlɔ	ABBF	1 Tilew Kibaru	MLI	bible
1528677420994	2 Chroniques		Kibaroyaw filanan	WYI	Kibaru filanan	ABBF	2 Tilew Kibaru	MLI	bible
1528677420995	Ezra		Ɛsidarasi	WYI	Ɛsidirasi	ABBF	Esdrasi	MLI	bible
1528677420996	Nehémia		Nehemi	WYI	Neemi	ABBF	Nehemi	MLI	bible
1528677420997	Esther		Ɛsitɛri	WYI	Ɛsitɛri	ABBF	Esiteri	MLI	bible
1528677420998	Job		Ayuba	WYI	Zɔbu	ABBF	Job	MLI	bible
1528677420999	Psaumes		Zaburu	WYI	Dɔnkiliw	ABBF	Zaburuw	MLI	bible
1528677421000	Proverbes		Zanaw	WYI	Talenw	ABBF	Ntalenw	MLI	bible
1528677421001	Ecclésiaste		Waajurikɛbaga	WYI	Waajulikɛla	ABBF	Waajulikɛla	MLI	bible
1528677421002	Chant de Salomon (Cantiques)		Dɔnkiriw	WYI	Dɔnkili Dimanw	ABBF	Solomani ka dɔnkili	MLI	bible
1528677421003	Isaïe		Ezayi	WYI	Ezayi	ABBF	Esayi	MLI	bible
1528677421004	Jérémie		Yeremi	WYI	Zeremi	ABBF	Jeremi	MLI	bible
1528677421005	Lamentations		Kasikan	WYI	Dusukasidɔnkili	ABBF	Jeremi ka maɲumatɔkan	MLI	bible
1528677421006	Ézékiel		Ezekiyɛli	WYI	Ezekiyɛli	ABBF	Ezekiɛl	MLI	bible
1528677421007	Daniel		Daniɛli	WYI	Daniyɛli	ABBF	Daniɛl	MLI	bible
1528677421008	Hoshéa		Oze	WYI	Oze	ABBF	Ose	MLI	bible
1528677421009	Yoël		Yowɛli	WYI	Zowɛli	ABBF	Joɛl	MLI	bible
1528677421010	Amos		Amɔsi	WYI	Amɔsi	ABBF	Amos	MLI	bible
1528677421011	Obadia		Abidiyasi	WYI	Abudiyasi	ABBF	Abdiyasi	MLI	bible
1528677421012	Yona		Yunusu	WYI	Zonasi	ABBF	Jonasi	MLI	bible
1528677421013	Mika		Mise	WYI	Mise	ABBF	Mise	MLI	bible
1528677421014	Nahoum		Nahɔmu	WYI	Nawumu	ABBF	Nahum	MLI	bible
1528677421015	Habaqouq		Habakuki	WYI	Abakuki	ABBF	Habakuk	MLI	bible
1528677421016	Tsephania		Sofoni	WYI	Sofoni	ABBF	Sofoni	MLI	bible
1528677421017	Haggaï		Hagize	WYI	Aze	ABBF	Agize	MLI	bible
1528677421018	Zekaria		Jakariya	WYI	Zakari	ABBF	Zakari	MLI	bible
1528677421019	Malaki		Malaki	WYI	Malasi	ABBF	Malaki	MLI	bible
1528677421020	Matthieu		Matiyo	WYI	Matiyo	ABBF	Matiyu	MLI	bible
1528677421021	Marc		Mariki	WYI	Mariki	ABBF	Marka	MLI	bible
1528677421022	Luc		Luka	WYI	Luka	ABBF	Luka	MLI	bible
1528677421023	Jean		Zan	WYI	Zan	ABBF	Yuhana	MLI	bible
1528677421024	Actes		Kɛwaliw	WYI	Kɛwaliw	ABBF	Kɛwalew	MLI	bible
1528677421025	Romains		Ɔrɔmukaw	WYI	Ɔrɔmukaw	ABBF	Romɛkaw	MLI	bible
1528677421026	1 Corinthiens		Korɛntikaw fɔlɔ	WYI	Korɛntikaw fɔlɔ	ABBF	1 Kɔrɛntekaw	MLI	bible
1528677421027	2 Corinthiens		Korɛntikaw filanan	WYI	Korɛntikaw filanan	ABBF	2 Kɔrɛntekaw	MLI	bible
1528677421028	Galates		Galatikaw	WYI	Galatikaw	ABBF	Galasikaw	MLI	bible
1528677421029	Éphésiens		Efɛzikaw	WYI	Efɛzikaw	ABBF	Efesekaw	MLI	bible
1528677421030	Philippiens		Filipikaw	WYI	Filipikaw	ABBF	Filipekaw	MLI	bible
1528677421031	Colossiens		Kɔlɔsikaw	WYI	Kɔlɔsikaw	ABBF	Kolosekaw	MLI	bible
1528677421032	1 Thessaloniciens		Tesalonikaw fɔlɔ	WYI	Tesalonikaw fɔlɔ	ABBF	1 Tesalonikekaw	MLI	bible
1528677421033	2 Thessaloniciens		Tesalonikaw filanan	WYI	Tesalonikaw filanan	ABBF	2 Tesalonikekaw	MLI	bible
1528677421034	1 Timothée		Timote fɔlɔ	WYI	Timote fɔlɔ	ABBF	1 Timote	MLI	bible
1528677421035	2 Timothée		Timote filanan	WYI	Timote filanan	ABBF	2 Timote	MLI	bible
1528677421036	Tite		Titi	WYI	Titi	ABBF	Tite	MLI	bible
1528677421037	Philémon		Filemɔn	WYI	Filemɔn	ABBF	Filemon	MLI	bible
1528677421038	Hébreux		Eburuw	WYI	Eburuw	ABBF	Heburuw	MLI	bible
1528677421039	Jacques		Zaki	WYI	Zaki	ABBF	Yakuba	MLI	bible
1528677421040	1 Pierre		Piyɛri fɔlɔ	WYI	Piyɛri fɔlɔ	ABBF	1 Piɛrɛ	MLI	bible
1528677421041	2 Pierre		Piyɛri filanan	WYI	Piyɛri filanan	ABBF	2 Piɛrɛ	MLI	bible
1528677421042	1 Jean		Zan fɔlɔ	WYI	Zan fɔlɔ	ABBF	1 Yuhana	MLI	bible
1528677421043	2 Jean		Zan filanan	WYI	Zan filanan	ABBF	2 Yuhana	MLI	bible
1528677421044	3 Jean		Zan sabanan	WYI	Zan sabanan	ABBF	3 Yuhana	MLI	bible
1528677421045	Jude		Zude	WYI	Zude	ABBF	Jude	MLI	bible
1528677421046	Révélation		Yirali	WYI	Yirali	ABBF	Jirali	MLI	bible
#Note ID	French	Source	Jula1	Note1	Jula2	Note2	Bambara	Note3	tags
